BatsMan,OutNotOut,Runs,Balls,Fours,Sixes,SR,Match_ID,Match_Between,Position,Team
Dimuth Karunaratne,Out,0,1,0,0,0.00,ODI # 4690,India vs Sri Lanka,2,Sri Lanka
Kusal Mendis,Out,1,10,0,0,10.00,ODI # 4690,India vs Sri Lanka,3,Sri Lanka
Sadeera Samarawickrama,Out,0,4,0,0,0.00,ODI # 4690,India vs Sri Lanka,4,Sri Lanka
Charith Asalanka,Out,1,24,0,0,4.16,ODI # 4690,India vs Sri Lanka,5,Sri Lanka
Angelo Mathews,Out,12,25,1,0,48.00,ODI # 4690,India vs Sri Lanka,6,Sri Lanka
Dushan Hemantha,Out,0,1,0,0,0.00,ODI # 4690,India vs Sri Lanka,7,Sri Lanka
Dushmantha Chameera,Out,0,6,0,0,0.00,ODI # 4690,India vs Sri Lanka,8,Sri Lanka
Maheesh Theekshana,Not Out,12,23,2,0,52.17,ODI # 4690,India vs Sri Lanka,9,Sri Lanka
Kasun Rajitha,Out,14,17,2,0,82.35,ODI # 4690,India vs Sri Lanka,10,Sri Lanka
Dilshan Madushanka,Out,5,6,1,0,83.33,ODI # 4690,India vs Sri Lanka,11,Sri Lanka
Quinton de Kock,Out,114,116,10,3,98.27,ODI # 4689,New Zealand vs South Africa,1,South Africa
Temba Bavuma,Out,24,28,4,1,85.71,ODI # 4689,New Zealand vs South Africa,2,South Africa
Rassie van der Dussen,Out,133,118,9,5,112.71,ODI # 4689,New Zealand vs South Africa,3,South Africa
David Miller,Out,53,30,2,4,176.66,ODI # 4689,New Zealand vs South Africa,4,South Africa
Heinrich Klaasen,Not Out,15,7,1,1,214.28,ODI # 4689,New Zealand vs South Africa,5,South Africa
Aiden Markram,Not Out,6,1,0,1,600.00,ODI # 4689,New Zealand vs South Africa,6,South Africa
Devon Conway,Out,2,6,0,0,33.33,ODI # 4689,New Zealand vs South Africa,1,New Zealand
Will Young,Out,33,37,5,0,89.18,ODI # 4689,New Zealand vs South Africa,2,New Zealand
Rachin Ravindra,Out,9,16,1,0,56.25,ODI # 4689,New Zealand vs South Africa,3,New Zealand
Daryl Mitchell,Out,24,30,4,0,80.00,ODI # 4689,New Zealand vs South Africa,4,New Zealand
Tom Latham,Out,4,15,0,0,26.66,ODI # 4689,New Zealand vs South Africa,5,New Zealand
Glenn Phillips,Out,60,50,4,4,120.00,ODI # 4689,New Zealand vs South Africa,6,New Zealand
Mitchell Santner,Out,7,18,1,0,38.88,ODI # 4689,New Zealand vs South Africa,7,New Zealand
Tim Southee,Out,7,11,1,0,63.63,ODI # 4689,New Zealand vs South Africa,8,New Zealand
James Neesham,Out,0,8,0,0,0.00,ODI # 4689,New Zealand vs South Africa,9,New Zealand
Trent Boult,Out,9,14,1,0,64.28,ODI # 4689,New Zealand vs South Africa,10,New Zealand
Matt Henry,Not Out,0,9,0,0,0.00,ODI # 4689,New Zealand vs South Africa,11,New Zealand
Tanzid Hasan,Out,0,5,0,0,0.00,ODI # 4688,Bangladesh vs Pakistan,1,Bangladesh
Litton Das,Out,45,64,6,0,70.31,ODI # 4688,Bangladesh vs Pakistan,2,Bangladesh
Najmul Hossain Shanto,Out,4,3,1,0,133.33,ODI # 4688,Bangladesh vs Pakistan,3,Bangladesh
Mushfiqur Rahim,Out,5,8,1,0,62.50,ODI # 4688,Bangladesh vs Pakistan,4,Bangladesh
Mahmudullah,Out,56,70,6,1,80.00,ODI # 4688,Bangladesh vs Pakistan,5,Bangladesh
Shakib Al Hasan,Out,43,64,4,0,67.18,ODI # 4688,Bangladesh vs Pakistan,6,Bangladesh
Towhid Hridoy,Out,7,3,0,1,233.33,ODI # 4688,Bangladesh vs Pakistan,7,Bangladesh
Mehidy Hasan Miraz,Out,25,30,1,1,83.33,ODI # 4688,Bangladesh vs Pakistan,8,Bangladesh
Taskin Ahmed,Out,6,13,0,0,46.15,ODI # 4688,Bangladesh vs Pakistan,9,Bangladesh
Mustafizur Rahman,Out,3,7,0,0,42.85,ODI # 4688,Bangladesh vs Pakistan,10,Bangladesh
Shoriful Islam,Not Out,1,4,0,0,25.00,ODI # 4688,Bangladesh vs Pakistan,11,Bangladesh
Abdullah Shafique,Out,68,69,9,2,98.55,ODI # 4688,Bangladesh vs Pakistan,1,Pakistan
Fakhar Zaman,Out,81,74,3,7,109.45,ODI # 4688,Bangladesh vs Pakistan,2,Pakistan
Babar Azam,Out,9,16,1,0,56.25,ODI # 4688,Bangladesh vs Pakistan,3,Pakistan
Mohammad Rizwan,Not Out,26,21,4,0,123.80,ODI # 4688,Bangladesh vs Pakistan,4,Pakistan
Iftikhar Ahmed,Not Out,17,15,2,0,113.33,ODI # 4688,Bangladesh vs Pakistan,5,Pakistan
Pathum Nissanka,Out,46,60,5,0,76.66,ODI # 4687,Afghanistan vs Sri Lanka,1,Sri Lanka
Dimuth Karunaratne,Out,15,21,1,0,71.42,ODI # 4687,Afghanistan vs Sri Lanka,2,Sri Lanka
Kusal Mendis,Out,39,50,3,0,78.00,ODI # 4687,Afghanistan vs Sri Lanka,3,Sri Lanka
Sadeera Samarawickrama,Out,36,40,3,0,90.00,ODI # 4687,Afghanistan vs Sri Lanka,4,Sri Lanka
Charith Asalanka,Out,22,28,2,0,78.57,ODI # 4687,Afghanistan vs Sri Lanka,5,Sri Lanka
Dhananjaya de Silva,Out,14,26,1,0,53.84,ODI # 4687,Afghanistan vs Sri Lanka,6,Sri Lanka
Angelo Mathews,Out,23,26,1,1,88.46,ODI # 4687,Afghanistan vs Sri Lanka,7,Sri Lanka
Dushmantha Chameera,Out,1,4,0,0,25.00,ODI # 4687,Afghanistan vs Sri Lanka,8,Sri Lanka
Maheesh Theekshana,Out,29,31,3,1,93.54,ODI # 4687,Afghanistan vs Sri Lanka,9,Sri Lanka
Kasun Rajitha,Out,5,7,0,0,71.42,ODI # 4687,Afghanistan vs Sri Lanka,10,Sri Lanka
Dilshan Madushanka,Not Out,0,4,0,0,0.00,ODI # 4687,Afghanistan vs Sri Lanka,11,Sri Lanka
Rahmanullah Gurbaz,Out,0,4,0,0,0.00,ODI # 4687,Afghanistan vs Sri Lanka,1,Afghanistan
Ibrahim Zadran,Out,39,57,4,1,68.42,ODI # 4687,Afghanistan vs Sri Lanka,2,Afghanistan
Rahmat Shah,Out,62,74,7,0,83.78,ODI # 4687,Afghanistan vs Sri Lanka,3,Afghanistan
Hashmatullah Shahidi,Not Out,58,74,2,1,78.37,ODI # 4687,Afghanistan vs Sri Lanka,4,Afghanistan
Azmatullah Omarzai,Not Out,73,63,6,3,115.87,ODI # 4687,Afghanistan vs Sri Lanka,5,Afghanistan
Rohit Sharma,Out,87,101,10,3,86.13,ODI # 4686,India vs England,1,India
Shubman Gill,Out,9,13,1,0,69.23,ODI # 4686,India vs England,2,India
Virat Kohli,Out,0,9,0,0,0.00,ODI # 4686,India vs England,3,India
Shreyas Iyer,Out,4,16,0,0,25.00,ODI # 4686,India vs England,4,India
KL Rahul,Out,39,58,3,0,67.24,ODI # 4686,India vs England,5,India
Suryakumar Yadav,Out,49,47,4,1,104.25,ODI # 4686,India vs England,6,India
Ravindra Jadeja,Out,8,13,0,0,61.53,ODI # 4686,India vs England,7,India
Mohammed Shami,Out,1,5,0,0,20.00,ODI # 4686,India vs England,8,India
Jasprit Bumrah,Out,16,25,1,0,64.00,ODI # 4686,India vs England,9,India
Kuldeep Yadav,Not Out,9,13,1,0,69.23,ODI # 4686,India vs England,10,India
Jonny Bairstow,Out,14,23,2,0,60.86,ODI # 4686,India vs England,1,England
Dawid Malan,Out,16,17,2,1,94.11,ODI # 4686,India vs England,2,England
Joe Root,Out,0,1,0,0,0.00,ODI # 4686,India vs England,3,England
Ben Stokes,Out,0,10,0,0,0.00,ODI # 4686,India vs England,4,England
Jos Buttler,Out,10,23,1,0,43.47,ODI # 4686,India vs England,5,England
Moeen Ali,Out,15,31,0,0,48.38,ODI # 4686,India vs England,6,England
Liam Livingstone,Out,27,46,2,0,58.69,ODI # 4686,India vs England,7,England
Chris Woakes,Out,10,20,1,0,50.00,ODI # 4686,India vs England,8,England
David Willey,Not Out,16,17,0,2,94.11,ODI # 4686,India vs England,9,England
Adil Rashid,Out,13,20,2,0,65.00,ODI # 4686,India vs England,10,England
Mark Wood,Out,0,1,0,0,0.00,ODI # 4686,India vs England,11,England
Vikramjit Singh,Out,3,9,0,0,33.33,ODI # 4685,Bangladesh vs Netherlands,1,Netherlands
Max O'Dowd,Out,0,3,0,0,0.00,ODI # 4685,Bangladesh vs Netherlands,2,Netherlands
Wesley Barresi,Out,41,41,8,0,100.00,ODI # 4685,Bangladesh vs Netherlands,3,Netherlands
Colin Ackermann,Out,15,33,1,0,45.45,ODI # 4685,Bangladesh vs Netherlands,4,Netherlands
Scott Edwards,Out,68,89,6,0,76.40,ODI # 4685,Bangladesh vs Netherlands,5,Netherlands
Bas de Leede,Out,17,32,2,0,53.12,ODI # 4685,Bangladesh vs Netherlands,6,Netherlands
Sybrand Engelbrecht,Out,35,61,3,0,57.37,ODI # 4685,Bangladesh vs Netherlands,7,Netherlands
Logan van Beek,Not Out,23,16,2,1,143.75,ODI # 4685,Bangladesh vs Netherlands,8,Netherlands
Shariz Ahmad,Out,6,8,0,0,75.00,ODI # 4685,Bangladesh vs Netherlands,9,Netherlands
Aryan Dutt,Out,9,6,0,1,150.00,ODI # 4685,Bangladesh vs Netherlands,10,Netherlands
Paul van Meekeren,Out,0,2,0,0,0.00,ODI # 4685,Bangladesh vs Netherlands,11,Netherlands
Litton Das,Out,3,12,0,0,25.00,ODI # 4685,Bangladesh vs Netherlands,1,Bangladesh
Tanzid Hasan,Out,15,16,3,0,93.75,ODI # 4685,Bangladesh vs Netherlands,2,Bangladesh
Mehidy Hasan Miraz,Out,35,40,5,1,87.50,ODI # 4685,Bangladesh vs Netherlands,3,Bangladesh
Najmul Hossain Shanto,Out,9,18,2,0,50.00,ODI # 4685,Bangladesh vs Netherlands,4,Bangladesh
Shakib Al Hasan,Out,5,14,0,0,35.71,ODI # 4685,Bangladesh vs Netherlands,5,Bangladesh
Mushfiqur Rahim,Out,1,5,0,0,20.00,ODI # 4685,Bangladesh vs Netherlands,6,Bangladesh
Mahmudullah,Out,20,41,2,0,48.78,ODI # 4685,Bangladesh vs Netherlands,7,Bangladesh
Mahedi Hasan,Out,17,38,1,0,44.73,ODI # 4685,Bangladesh vs Netherlands,8,Bangladesh
Taskin Ahmed,Out,11,35,1,0,31.42,ODI # 4685,Bangladesh vs Netherlands,9,Bangladesh
Mustafizur Rahman,Out,20,35,2,1,57.14,ODI # 4685,Bangladesh vs Netherlands,10,Bangladesh
Shoriful Islam,Not Out,0,0,0,0,-,ODI # 4685,Bangladesh vs Netherlands,11,Bangladesh
David Warner,Out,81,65,5,6,124.61,ODI # 4684,Australia vs New Zealand,1,Australia
Travis Head,Out,109,67,10,7,162.68,ODI # 4684,Australia vs New Zealand,2,Australia
Mitchell Marsh,Out,36,51,2,0,70.58,ODI # 4684,Australia vs New Zealand,3,Australia
Steven Smith,Out,18,17,2,0,105.88,ODI # 4684,Australia vs New Zealand,4,Australia
Marnus Labuschagne,Out,18,26,2,0,69.23,ODI # 4684,Australia vs New Zealand,5,Australia
Glenn Maxwell,Out,41,24,5,2,170.83,ODI # 4684,Australia vs New Zealand,6,Australia
Josh Inglis,Out,38,28,4,1,135.71,ODI # 4684,Australia vs New Zealand,7,Australia
Pat Cummins,Out,37,14,2,4,264.28,ODI # 4684,Australia vs New Zealand,8,Australia
Mitchell Starc,Out,1,3,0,0,33.33,ODI # 4684,Australia vs New Zealand,9,Australia
Adam Zampa,Out,0,3,0,0,0.00,ODI # 4684,Australia vs New Zealand,10,Australia
Josh Hazlewood,Not Out,0,0,0,0,-,ODI # 4684,Australia vs New Zealand,11,Australia
Devon Conway,Out,28,17,6,0,164.70,ODI # 4684,Australia vs New Zealand,1,New Zealand
Will Young,Out,32,37,4,1,86.48,ODI # 4684,Australia vs New Zealand,2,New Zealand
Rachin Ravindra,Out,116,89,9,5,130.33,ODI # 4684,Australia vs New Zealand,3,New Zealand
Daryl Mitchell,Out,54,51,6,1,105.88,ODI # 4684,Australia vs New Zealand,4,New Zealand
Tom Latham,Out,21,22,2,0,95.45,ODI # 4684,Australia vs New Zealand,5,New Zealand
Glenn Phillips,Out,12,16,1,0,75.00,ODI # 4684,Australia vs New Zealand,6,New Zealand
James Neesham,Out,58,39,3,3,148.71,ODI # 4684,Australia vs New Zealand,7,New Zealand
Mitchell Santner,Out,17,12,1,1,141.66,ODI # 4684,Australia vs New Zealand,8,New Zealand
Matt Henry,Out,9,8,1,0,112.50,ODI # 4684,Australia vs New Zealand,9,New Zealand
Trent Boult,Not Out,10,8,0,1,125.00,ODI # 4684,Australia vs New Zealand,10,New Zealand
Lockie Ferguson,Not Out,0,1,0,0,0.00,ODI # 4684,Australia vs New Zealand,11,New Zealand
Abdullah Shafique,Out,9,17,1,0,52.94,ODI # 4683,Pakistan vs South Africa,1,Pakistan
Imam-ul-Haq,Out,12,18,2,0,66.66,ODI # 4683,Pakistan vs South Africa,2,Pakistan
Babar Azam,Out,50,65,4,1,76.92,ODI # 4683,Pakistan vs South Africa,3,Pakistan
Mohammad Rizwan,Out,31,27,4,1,114.81,ODI # 4683,Pakistan vs South Africa,4,Pakistan
Iftikhar Ahmed,Out,21,31,1,1,67.74,ODI # 4683,Pakistan vs South Africa,5,Pakistan
Saud Shakeel,Out,52,52,7,0,100.00,ODI # 4683,Pakistan vs South Africa,6,Pakistan
Shadab Khan,Out,43,36,3,2,119.44,ODI # 4683,Pakistan vs South Africa,7,Pakistan
Mohammad Nawaz,Out,24,24,1,2,100.00,ODI # 4683,Pakistan vs South Africa,8,Pakistan
Shaheen Shah Afridi,Out,2,4,0,0,50.00,ODI # 4683,Pakistan vs South Africa,9,Pakistan
Mohammad Wasim,Out,7,9,0,1,77.77,ODI # 4683,Pakistan vs South Africa,10,Pakistan
Haris Rauf,Not Out,0,1,0,0,0.00,ODI # 4683,Pakistan vs South Africa,11,Pakistan
Temba Bavuma,Out,28,27,4,1,103.70,ODI # 4683,Pakistan vs South Africa,1,South Africa
Quinton de Kock,Out,24,14,5,0,171.42,ODI # 4683,Pakistan vs South Africa,2,South Africa
Rassie van der Dussen,Out,21,39,0,0,53.84,ODI # 4683,Pakistan vs South Africa,3,South Africa
Aiden Markram,Out,91,93,7,3,97.84,ODI # 4683,Pakistan vs South Africa,4,South Africa
Heinrich Klaasen,Out,12,10,0,1,120.00,ODI # 4683,Pakistan vs South Africa,5,South Africa
David Miller,Out,29,33,2,2,87.87,ODI # 4683,Pakistan vs South Africa,6,South Africa
Marco Jansen,Out,20,14,2,1,142.85,ODI # 4683,Pakistan vs South Africa,7,South Africa
Gerald Coetzee,Out,10,13,0,0,76.92,ODI # 4683,Pakistan vs South Africa,8,South Africa
Keshav Maharaj,Not Out,7,21,1,0,33.33,ODI # 4683,Pakistan vs South Africa,9,South Africa
Lungi Ngidi,Out,4,14,0,0,28.57,ODI # 4683,Pakistan vs South Africa,10,South Africa
Tabraiz Shamsi,Not Out,4,6,0,0,66.66,ODI # 4683,Pakistan vs South Africa,11,South Africa
Jonny Bairstow,Out,30,31,3,0,96.77,ODI # 4682,England vs Sri Lanka,1,England
Dawid Malan,Out,28,25,6,0,112.00,ODI # 4682,England vs Sri Lanka,2,England
Joe Root,Out,3,10,0,0,30.00,ODI # 4682,England vs Sri Lanka,3,England
Ben Stokes,Out,43,73,6,0,58.90,ODI # 4682,England vs Sri Lanka,4,England
Jos Buttler,Out,8,6,1,0,133.33,ODI # 4682,England vs Sri Lanka,5,England
Liam Livingstone,Out,1,6,0,0,16.66,ODI # 4682,England vs Sri Lanka,6,England
Moeen Ali,Out,15,15,1,0,100.00,ODI # 4682,England vs Sri Lanka,7,England
Chris Woakes,Out,0,4,0,0,0.00,ODI # 4682,England vs Sri Lanka,8,England
David Willey,Not Out,14,17,1,1,82.35,ODI # 4682,England vs Sri Lanka,9,England
Adil Rashid,Out,2,7,0,0,28.57,ODI # 4682,England vs Sri Lanka,10,England
Mark Wood,Out,5,6,1,0,83.33,ODI # 4682,England vs Sri Lanka,11,England
Pathum Nissanka,Not Out,77,83,7,2,92.77,ODI # 4682,England vs Sri Lanka,1,Sri Lanka
Kusal Perera,Out,4,5,1,0,80.00,ODI # 4682,England vs Sri Lanka,2,Sri Lanka
Kusal Mendis,Out,11,12,2,0,91.66,ODI # 4682,England vs Sri Lanka,3,Sri Lanka
Sadeera Samarawickrama,Not Out,65,54,7,1,120.37,ODI # 4682,England vs Sri Lanka,4,Sri Lanka
Mitchell Marsh,Out,9,15,2,0,60.00,ODI # 4681,Australia vs Netherlands,1,Australia
David Warner,Out,104,93,11,3,111.82,ODI # 4681,Australia vs Netherlands,2,Australia
Steven Smith,Out,71,68,9,1,104.41,ODI # 4681,Australia vs Netherlands,3,Australia
Marnus Labuschagne,Out,62,47,7,2,131.91,ODI # 4681,Australia vs Netherlands,4,Australia
Josh Inglis,Out,14,12,1,1,116.66,ODI # 4681,Australia vs Netherlands,5,Australia
Glenn Maxwell,Out,106,44,9,8,240.90,ODI # 4681,Australia vs Netherlands,6,Australia
Cameron Green,Out,8,11,1,0,72.72,ODI # 4681,Australia vs Netherlands,7,Australia
Pat Cummins,Not Out,12,9,2,0,133.33,ODI # 4681,Australia vs Netherlands,8,Australia
Mitchell Starc,Out,0,1,0,0,0.00,ODI # 4681,Australia vs Netherlands,9,Australia
Adam Zampa,Not Out,1,1,0,0,100.00,ODI # 4681,Australia vs Netherlands,10,Australia
Vikramjit Singh,Out,25,25,6,0,100.00,ODI # 4681,Australia vs Netherlands,1,Netherlands
Max O'Dowd,Out,6,9,1,0,66.66,ODI # 4681,Australia vs Netherlands,2,Netherlands
Colin Ackermann,Out,10,11,2,0,90.90,ODI # 4681,Australia vs Netherlands,3,Netherlands
Sybrand Engelbrecht,Out,11,21,1,0,52.38,ODI # 4681,Australia vs Netherlands,4,Netherlands
Bas de Leede,Out,4,7,1,0,57.14,ODI # 4681,Australia vs Netherlands,5,Netherlands
Scott Edwards,Not Out,12,22,0,0,54.54,ODI # 4681,Australia vs Netherlands,6,Netherlands
Teja Nidamanuru,Out,14,18,2,0,77.77,ODI # 4681,Australia vs Netherlands,7,Netherlands
Logan van Beek,Out,0,3,0,0,0.00,ODI # 4681,Australia vs Netherlands,8,Netherlands
Roelof van der Merwe,Out,0,1,0,0,0.00,ODI # 4681,Australia vs Netherlands,9,Netherlands
Aryan Dutt,Out,1,8,0,0,12.50,ODI # 4681,Australia vs Netherlands,10,Netherlands
Paul van Meekeren,Out,0,1,0,0,0.00,ODI # 4681,Australia vs Netherlands,11,Netherlands
Quinton de Kock,Out,174,140,15,7,124.28,ODI # 4680,Bangladesh vs South Africa,1,South Africa
Reeza Hendricks,Out,12,19,1,0,63.15,ODI # 4680,Bangladesh vs South Africa,2,South Africa
Rassie van der Dussen,Out,1,7,0,0,14.28,ODI # 4680,Bangladesh vs South Africa,3,South Africa
Aiden Markram,Out,60,69,7,0,86.95,ODI # 4680,Bangladesh vs South Africa,4,South Africa
